ID,Outcome Date,Animal ID,Name,Outcome Status,Euthanasia Reason,Type,Sex,Spayed/Neutered,Primary Breed,Primary Color,Secondary Color,Date of Birth,Intake Date,Days in Shelter,Timestamp,Outcome,Age at Intake,Age Unknown,Adopted,Intake Month,Adopted Prob,Adoption Prob %
94664,2026 Sep 11 02:02:00 PM,32863,,Transfer Out,,Kitten,Male,No,Domestic Shorthair,Blue,Unknown,2026-08-28,2026-09-11 13:01:00,0,2026 Sep 12 12:15:10 AM,Transferred,1.0,0,0,9,0.0,0.0
94663,2026 Sep 11 02:00:00 PM,32833,Unknown ,Transfer Out,,Kitten,Female,No,Domestic Shorthair,Grey Tabby,Black,2026-09-02,2026-09-11 08:18:00,0,2026 Sep 12 12:15:10 AM,Transferred,0.0,0,0,9,0.0,0.0
94662,2026 Sep 11 01:59:00 PM,32856,,Transfer Out,,Kitten,Female,No,Domestic Shorthair,Black,Unknown,2026-09-09,2026-09-11 12:12:00,0,2026 Sep 12 12:15:10 AM,Transferred,0.0,0,0,9,0.0,0.0
94661,2026 Sep 11 01:59:00 PM,32855,,Transfer Out,,Kitten,Unknown,No,Domestic Shorthair,Calico,Unknown,2026-09-09,2026-09-11 12:12:00,0,2026 Sep 12 12:15:10 AM,Transferred,0.0,0,0,9,0.0,0.0
94585,2026 Sep 10 06:11:33 PM,32608,,Adopted,,Kitten,Female,Yes,Domestic Shorthair,Calico,White,2026-08-05,2026-09-05 17:28:00,5,2026 Sep 12 12:15:10 AM,Adopted,1.0,0,1,9,0.9895138226882746,98.95
94579,2026 Sep 10 05:09:00 PM,32530,Beau,Adopted,,Cat,Male,Unknown,Domestic Shorthair,Grey,White,2019-04-01,2026-09-04 11:50:00,6,2026 Sep 12 12:15:10 AM,Adopted,89.0,0,1,9,0.044036697247706424,4.4
94571,2026 Sep 10 04:33:00 PM,31239,Ferguson,Return to Habitat,,Cat,Male,Yes,Domestic Shorthair,Orange Tabby,White,2023-09-03,2026-08-07 13:55:00,34,2026 Sep 12 12:15:10 AM,Return to habitat,35.0,0,0,8,0.7666666666666667,76.67
94548,2026 Sep 10 03:04:00 PM,32807,,Transfer Out,,Kitten,Male,No,Domestic Shorthair,Orange Tabby,Unknown,2026-09-03,2026-09-10 13:52:00,0,2026 Sep 12 12:15:10 AM,Transferred,0.0,0,0,9,0.0,0.0
94544,2026 Sep 10 02:59:26 PM,32267,Cheekies,Adopted,,Cat,Male,Yes,Domestic Shorthair,Brown Tabby,White,2021-02-28,2026-08-28 17:20:00,13,2026 Sep 12 12:15:10 AM,Adopted,66.0,0,1,8,0.6048034934497817,60.48
94537,2026 Sep 10 02:44:00 PM,32802,,Transfer Out,,Kitten,Female,Yes,Domestic Shorthair,Black,Unknown,2026-08-20,2026-09-10 13:42:00,0,2026 Sep 12 12:15:10 AM,Transferred,1.0,0,0,9,0.9895138226882746,98.95
94515,2026 Sep 10 01:27:00 PM,32707,Sofie,Reclaimed,,Cat,Female,No,Domestic Shorthair,Cream,Unknown,2020-09-09,2026-09-09 03:45:00,1,2026 Sep 12 12:15:10 AM,Returned to owner,72.0,0,0,9,0.015873015873015872,1.59
94513,2026 Sep 10 01:26:00 PM,32706,Danielle,Reclaimed,,Cat,Female,No,Domestic Shorthair,Calico,Unknown,2020-09-09,2026-09-09 03:45:00,1,2026 Sep 12 12:15:10 AM,Returned to owner,72.0,0,0,9,0.015873015873015872,1.59
94506,2026 Sep 10 01:10:52 PM,32456,Butters,Adopted,,Cat,Male,Yes,Domestic Shorthair,Brown Tabby,Unknown,2024-09-02,2026-09-02 14:24:00,8,2026 Sep 12 12:15:10 AM,Adopted,24.0,0,1,9,0.7666666666666667,76.67
94441,2026 Sep 10 07:51:00 AM,32550,,Transfer Out,,Cat,Unknown,Unknown,Domestic Shorthair,Brown Tabby,Unknown,2025-09-04,2026-09-04 14:09:00,6,2026 Sep 12 12:15:10 AM,Transferred,12.0,0,0,9,0.015873015873015872,1.59
94440,2026 Sep 10 07:51:00 AM,32675,,Transfer Out,,Cat,Female,No,Domestic Shorthair,Brown Tabby,Unknown,2024-09-08,2026-09-08 12:33:00,2,2026 Sep 12 12:15:10 AM,Transferred,24.0,0,0,9,0.015873015873015872,1.59
94439,2026 Sep 10 07:51:00 AM,32620,,Transfer Out,,Cat,Female,No,Domestic Shorthair,Brown Tabby,White,2025-09-06,2026-09-06 12:05:00,4,2026 Sep 12 12:15:10 AM,Transferred,12.0,0,0,9,0.015873015873015872,1.59
94438,2026 Sep 10 07:51:00 AM,32621,,Transfer Out,,Cat,Female,No,Domestic Shorthair,Brown Tabby,White,2025-11-06,2026-09-06 12:05:00,4,2026 Sep 12 12:15:10 AM,Transferred,10.0,0,0,9,0.015873015873015872,1.59
94427,2026 Sep 09 06:24:00 PM,32739,,Transfer Out,,Kitten,Male,No,Domestic Shorthair,Black,Unknown,2026-08-12,2026-09-09 13:58:00,0,2026 Sep 12 12:15:10 AM,Transferred,1.0,0,0,9,0.0,0.0
94426,2026 Sep 09 06:24:00 PM,32738,,Transfer Out,,Kitten,Male,No,Domestic Shorthair,Black,Unknown,2026-08-12,2026-09-09 13:58:00,0,2026 Sep 12 12:15:10 AM,Transferred,1.0,0,0,9,0.0,0.0
94425,2026 Sep 09 06:24:00 PM,32736,,Transfer Out,,Kitten,Female,No,Domestic Shorthair,Tortoiseshell,Unknown,2026-08-12,2026-09-09 13:58:00,0,2026 Sep 12 12:15:10 AM,Transferred,1.0,0,0,9,0.0,0.0
94424,2026 Sep 09 06:24:00 PM,32735,,Transfer Out,,Kitten,Female,No,Domestic Shorthair,Tortoiseshell,Unknown,2026-08-12,2026-09-09 13:58:00,0,2026 Sep 12 12:15:10 AM,Transferred,1.0,0,0,9,0.0,0.0
94423,2026 Sep 09 06:24:00 PM,32734,,Transfer Out,,Kitten,Female,No,Domestic Shorthair,Tortoiseshell,Unknown,2026-08-12,2026-09-09 13:58:00,0,2026 Sep 12 12:15:10 AM,Transferred,1.0,0,0,9,0.0,0.0
94418,2026 Sep 09 05:13:00 PM,32755,,Transfer Out,,Kitten,Female,No,Domestic Shorthair,Black,White,2026-08-24,2026-09-09 15:39:00,0,2026 Sep 12 12:15:10 AM,Transferred,1.0,0,0,9,0.0,0.0
94414,2026 Sep 09 04:58:00 PM,32360,,Adopted,,Kitten,Female,Yes,Domestic Shorthair,Muted Tortoiseshell,Unknown,2026-07-13,2026-08-31 13:13:00,9,2026 Sep 12 12:15:10 AM,Adopted,1.0,0,1,8,0.9895138226882746,98.95
94413,2026 Sep 09 04:48:07 PM,32525,,Adopted,,Kitten,Male,Yes,Siamese,White,Unknown,2026-05-04,2026-09-04 10:49:00,5,2026 Sep 12 12:15:10 AM,Adopted,4.0,0,1,9,0.9047619047619048,90.48
94412,2026 Sep 09 04:42:30 PM,30077,Horatio Nelson,Adopted,,Kitten,Male,Yes,Domestic Shorthair,Brown Tabby,Unknown,2026-05-21,2026-07-16 12:50:00,55,2026 Sep 12 12:15:10 AM,Adopted,2.0,0,1,7,0.9895138226882746,98.95
94405,2026 Sep 09 04:18:30 PM,32510,Vader,Adopted,,Cat,Male,Yes,Scottish Fold,Black,Unknown,2024-09-03,2026-09-03 13:37:00,6,2026 Sep 12 12:15:10 AM,Adopted,24.0,0,1,9,0.7666666666666667,76.67
94359,2026 Sep 09 01:55:00 PM,31297,Brosnan,Adopted,,Cat,Male,Yes,Domestic Shorthair,Other,Unknown,2020-08-08,2026-08-08 12:42:00,32,2026 Sep 12 12:15:10 AM,Adopted,72.0,0,1,8,0.6048034934497817,60.48
94357,2026 Sep 09 01:40:00 PM,32553,,Return to Habitat,,Cat,Male,Yes,Domestic Shorthair,Brown Tabby,Unknown,2020-09-05,2026-09-04 14:30:00,5,2026 Sep 12 12:15:10 AM,Return to habitat,72.0,0,0,9,0.6048034934497817,60.48
94346,2026 Sep 09 12:57:00 PM,32565,Cole,Euthanized,Suffering,Cat,Unknown,Unknown,Domestic Shorthair,Black,Unknown,,2026-09-04 15:42:00,5,2026 Sep 12 12:15:10 AM,Death,3.0,1,0,9,0.015873015873015872,1.59
94344,2026 Sep 09 12:45:00 PM,32647,,Transfer Out,,Kitten,Female,No,Domestic Shorthair,Tortoiseshell,Unknown,2026-07-27,2026-09-07 08:28:00,2,2026 Sep 12 12:15:10 AM,Transferred,2.0,0,0,9,0.0,0.0
94337,2026 Sep 09 12:21:00 PM,24704,Tira,Adopted,,Cat,Female,Yes,Domestic Shorthair,Grey Tabby,White,2025-04-28,2026-04-28 11:44:00,134,2026 Sep 12 12:15:10 AM,Adopted,12.0,0,1,4,0.7666666666666667,76.67
94304,2026 Sep 09 10:42:00 AM,32358,,Transfer Out,,Kitten,Female,No,Domestic Shorthair,Black,Unknown,2026-06-29,2026-08-31 12:52:00,9,2026 Sep 12 12:15:10 AM,Transferred,2.0,0,0,8,0.0,0.0
94303,2026 Sep 09 10:42:00 AM,32355,,Transfer Out,,Kitten,Male,Yes,Domestic Shorthair,Brown Tabby,Unknown,2026-07-01,2026-08-31 12:52:00,9,2026 Sep 12 12:15:10 AM,Transferred,1.0,0,0,8,0.9895138226882746,98.95
94302,2026 Sep 09 10:42:00 AM,32354,,Transfer Out,,Kitten,Male,No,Domestic Shorthair,Brown Tabby,Unknown,2026-06-29,2026-08-31 12:52:00,9,2026 Sep 12 12:15:10 AM,Transferred,2.0,0,0,8,0.0,0.0
94300,2026 Sep 09 10:36:00 AM,32357,,Transfer Out,,Cat,Female,No,Domestic Shorthair,Torbie,Unknown,2026-03-31,2026-08-31 12:52:00,9,2026 Sep 12 12:15:10 AM,Transferred,5.0,0,0,8,0.015873015873015872,1.59
94276,2026 Sep 09 08:52:45 AM,32100,32100 ,Adopted,,Kitten,Female,Yes,Domestic Shorthair,Tortoiseshell,Unknown,2026-05-12,2026-08-26 11:31:00,14,2026 Sep 12 12:15:10 AM,Adopted,3.0,0,1,8,0.9895138226882746,98.95
94253,2026 Sep 08 06:28:53 PM,32555,,Adopted,,Cat,Male,Yes,Domestic Shorthair,Black,Unknown,2025-09-04,2026-09-04 15:00:00,4,2026 Sep 12 12:15:10 AM,Adopted,12.0,0,1,9,0.7666666666666667,76.67
94251,2026 Sep 08 06:08:00 PM,30574,Turkey,Adopted,,Kitten,Male,Yes,Domestic Shorthair,Brown Tabby,Brown Tabby,2026-04-27,2026-07-27 13:15:00,43,2026 Sep 12 12:15:10 AM,Adopted,3.0,0,1,7,0.9895138226882746,98.95
94247,2026 Sep 08 05:48:59 PM,32562,,Adopted,,Kitten,Female,Yes,Domestic Shorthair,Brown Tabby,Brown Tabby,2026-08-01,2026-09-04 15:36:00,4,2026 Sep 12 12:15:10 AM,Adopted,1.0,0,1,9,0.9895138226882746,98.95
94240,2026 Sep 08 05:38:00 PM,32645,,Euthanized,Suffering,Cat,Male,No,Domestic Shorthair,Black,White,2019-09-07,2026-09-07 01:26:00,1,2026 Sep 12 12:15:10 AM,Death,84.0,0,0,9,0.044036697247706424,4.4
94238,2026 Sep 08 05:36:52 PM,32496,Bugsy,Adopted,,Cat,Female,Yes,Scottish Fold,Black,Unknown,2024-09-08,2026-09-03 11:53:00,5,2026 Sep 12 12:15:10 AM,Adopted,24.0,0,1,9,0.7666666666666667,76.67
94225,2026 Sep 08 04:51:23 PM,30328,Pluto,Adopted,,Kitten,Male,Yes,Domestic Shorthair,Brown Tabby,Unknown,2026-05-22,2026-07-22 11:15:00,48,2026 Sep 12 12:15:10 AM,Adopted,2.0,0,1,7,0.9895138226882746,98.95
94224,2026 Sep 08 04:50:32 PM,30327,Polaris,Adopted,,Kitten,Male,Yes,Domestic Shorthair,Orange Tabby,Unknown,2026-05-22,2026-07-22 11:15:00,48,2026 Sep 12 12:15:10 AM,Adopted,2.0,0,1,7,0.9895138226882746,98.95
94220,2026 Sep 08 04:37:46 PM,32359,,Adopted,,Kitten,Male,Yes,Domestic Shorthair,Grey Tabby,Unknown,2026-07-13,2026-08-31 13:13:00,8,2026 Sep 12 12:15:10 AM,Adopted,1.0,0,1,8,0.9895138226882746,98.95
94218,2026 Sep 08 04:30:17 PM,32563,Jade Simone,Adopted,,Kitten,Female,Yes,Domestic Shorthair,Brown Tabby,Brown Tabby,2026-08-01,2026-09-04 15:36:00,4,2026 Sep 12 12:15:10 AM,Adopted,1.0,0,1,9,0.9895138226882746,98.95
94215,2026 Sep 08 04:25:04 PM,31373,,Adopted,,Kitten,Male,Yes,Domestic Shorthair,White,Smoke,2026-06-29,2026-08-10 14:43:00,29,2026 Sep 12 12:15:10 AM,Adopted,2.0,0,1,8,0.9895138226882746,98.95
94198,2026 Sep 08 03:13:00 PM,32368,Farrah,Adopted,,Cat,Female,Yes,Domestic Shorthair,Brown Tabby,White,2024-08-31,2026-08-31 14:22:00,8,2026 Sep 12 12:15:10 AM,Adopted,24.0,0,1,8,0.7666666666666667,76.67
94180,2026 Sep 08 01:54:00 PM,32661,Jenny,Reclaimed,,Cat,Female,Yes,Domestic Shorthair,Brown Tabby,Unknown,2022-09-08,2026-09-08 10:02:00,0,2026 Sep 12 12:15:10 AM,Returned to owner,48.0,0,0,9,0.6048034934497817,60.48
94179,2026 Sep 08 01:53:00 PM,32660,Morgan,Reclaimed,,Cat,Male,Yes,Domestic Shorthair,Black,Unknown,2022-09-08,2026-09-08 10:02:00,0,2026 Sep 12 12:15:10 AM,Returned to owner,48.0,0,0,9,0.6048034934497817,60.48
94157,2026 Sep 08 01:23:42 PM,31358,Sir Meows,Adopted,,Cat,Male,Yes,Domestic Shorthair,Orange Tabby,Unknown,2025-08-14,2026-09-05 14:20:00,3,2026 Sep 12 12:15:10 AM,Adopted,13.0,0,1,9,0.7666666666666667,76.67
94149,2026 Sep 08 01:06:00 PM,29866,Astra,Adopted,,Kitten,Female,Yes,Domestic Shorthair,Black,Unknown,2026-05-17,2026-07-12 12:12:00,58,2026 Sep 12 12:15:10 AM,Adopted,2.0,0,1,7,0.9895138226882746,98.95
94139,2026 Sep 08 12:40:00 PM,32666,,Transfer Out,,Kitten,Male,No,Domestic Shorthair,Black,Unknown,2026-08-11,2026-09-08 11:28:00,0,2026 Sep 12 12:15:10 AM,Transferred,1.0,0,0,9,0.0,0.0
94138,2026 Sep 08 12:40:00 PM,32665,,Transfer Out,,Kitten,Unknown,Unknown,Domestic Shorthair,White,Brown Tabby,,2026-09-08 11:27:00,0,2026 Sep 12 12:15:10 AM,Transferred,3.0,1,0,9,0.0,0.0
94137,2026 Sep 08 12:37:00 PM,31441,Acapulco,Adopted,,Cat,Male,Yes,Domestic Shorthair,Grey Tabby,Unknown,2026-04-11,2026-09-02 12:18:00,6,2026 Sep 12 12:15:10 AM,Adopted,5.0,0,1,9,0.9047619047619048,90.48
94110,2026 Sep 08 11:24:00 AM,32461,,Transfer Out,,Cat,Female,Yes,Domestic Shorthair,Black,Unknown,2020-09-02,2026-09-02 15:23:00,6,2026 Sep 12 12:15:10 AM,Transferred,72.0,0,0,9,0.6048034934497817,60.48
94098,2026 Sep 08 10:15:00 AM,32356,,Transfer Out,,Kitten,Female,Yes,Domestic Shorthair,Brown Tabby,Unknown,2026-07-01,2026-08-31 12:52:00,8,2026 Sep 12 12:15:10 AM,Transferred,1.0,0,0,8,0.9895138226882746,98.95
94094,2026 Sep 08 08:28:00 AM,32485,,Transfer Out,,Kitten,Male,No,Domestic Shorthair,Orange Tabby,White,2026-08-06,2026-09-03 11:13:00,5,2026 Sep 12 12:15:10 AM,Transferred,1.0,0,0,9,0.0,0.0
94093,2026 Sep 08 08:28:00 AM,32484,,Transfer Out,,Cat,Female,No,Domestic Shorthair,Torbie,Unknown,2024-09-03,2026-09-03 11:13:00,5,2026 Sep 12 12:15:10 AM,Transferred,24.0,0,0,9,0.015873015873015872,1.59
94092,2026 Sep 08 08:25:00 AM,32531,,Transfer Out,,Cat,Unknown,Unknown,Domestic Shorthair,Orange Tabby,White,2025-04-04,2026-09-04 12:02:00,4,2026 Sep 12 12:15:10 AM,Transferred,17.0,0,0,9,0.015873015873015872,1.59
94091,2026 Sep 08 08:25:00 AM,32486,,Transfer Out,,Cat,Unknown,Unknown,Domestic Shorthair,Brown Tabby,Unknown,2025-09-03,2026-09-03 11:18:00,5,2026 Sep 12 12:15:10 AM,Transferred,12.0,0,0,9,0.015873015873015872,1.59
94090,2026 Sep 08 08:25:00 AM,32488,,Transfer Out,,Cat,Unknown,Unknown,Domestic Shorthair,Brown Tabby,Unknown,2026-03-04,2026-09-03 11:22:00,5,2026 Sep 12 12:15:10 AM,Transferred,6.0,0,0,9,0.015873015873015872,1.59
94089,2026 Sep 08 08:25:00 AM,32442,,Transfer Out,,Cat,Female,No,Domestic Medium Hair,Brown Tabby,Brown Tabby,2024-09-02,2026-09-02 12:14:00,6,2026 Sep 12 12:15:10 AM,Transferred,24.0,0,0,9,0.015873015873015872,1.59
94088,2026 Sep 08 08:25:00 AM,32537,,Transfer Out,,Cat,Unknown,Unknown,Domestic Shorthair,Black,White,2026-04-04,2026-09-04 12:25:00,4,2026 Sep 12 12:15:10 AM,Transferred,5.0,0,0,9,0.015873015873015872,1.59
94081,2026 Sep 07 03:45:24 PM,31326,Groot,Adopted,,Kitten,Male,Yes,Domestic Shorthair,Brown Tabby,Unknown,2026-06-07,2026-08-12 13:59:00,26,2026 Sep 12 12:15:10 AM,Adopted,2.0,0,1,8,0.9895138226882746,98.95
94054,2026 Sep 06 06:43:36 PM,32340,Philomena,Adopted,,Cat,Female,Yes,Domestic Shorthair,Brown Tabby,Unknown,2025-08-31,2026-08-31 11:12:00,6,2026 Sep 12 12:15:10 AM,Adopted,12.0,0,1,8,0.7666666666666667,76.67
94053,2026 Sep 06 06:40:00 PM,32218,Queen,Adopted,,Cat,Female,No,Domestic Shorthair,Brown,Tabby,2025-08-28,2026-08-28 10:19:00,9,2026 Sep 12 12:15:10 AM,Adopted,12.0,0,1,8,0.13333333333333333,13.33
94051,2026 Sep 06 06:25:44 PM,32288,Raven,Adopted,,Cat,Male,Yes,Domestic Shorthair,Black,Unknown,2026-01-29,2026-08-29 11:10:00,8,2026 Sep 12 12:15:10 AM,Adopted,7.0,0,1,8,0.9047619047619048,90.48
94050,2026 Sep 06 06:21:00 PM,21792,Strudel,Adopted,,Cat,Female,Yes,Domestic Shorthair,Torbie,Unknown,2025-07-26,2026-02-20 22:51:00,198,2026 Sep 12 12:15:10 AM,Adopted,7.0,0,1,2,0.9047619047619048,90.48
94041,2026 Sep 06 05:42:00 PM,32637,,Transfer Out,,Kitten,Unknown,Unknown,Domestic Shorthair,Black,Black,2026-08-16,2026-09-06 16:32:00,0,2026 Sep 12 12:15:10 AM,Transferred,1.0,0,0,9,0.0,0.0
94040,2026 Sep 06 05:42:00 PM,32636,,Transfer Out,,Kitten,Unknown,Unknown,Domestic Shorthair,Brown Tabby,Brown Tabby,2026-08-16,2026-09-06 16:32:00,0,2026 Sep 12 12:15:10 AM,Transferred,1.0,0,0,9,0.0,0.0
94039,2026 Sep 06 05:42:00 PM,32635,,Transfer Out,,Kitten,Unknown,Unknown,Domestic Shorthair,Brown Tabby,Brown Tabby,2026-08-02,2026-09-06 16:32:00,0,2026 Sep 12 12:15:10 AM,Transferred,1.0,0,0,9,0.0,0.0
94038,2026 Sep 06 05:42:00 PM,32634,,Transfer Out,,Kitten,Unknown,Unknown,Domestic Shorthair,Brown Tabby,Brown Tabby,2026-08-02,2026-09-06 16:32:00,0,2026 Sep 12 12:15:10 AM,Transferred,1.0,0,0,9,0.0,0.0
94037,2026 Sep 06 05:42:00 PM,32633,,Transfer Out,,Kitten,Unknown,Unknown,Domestic Shorthair,Brown Tabby,Brown Tabby,2026-08-02,2026-09-06 16:32:00,0,2026 Sep 12 12:15:10 AM,Transferred,1.0,0,0,9,0.0,0.0
94036,2026 Sep 06 05:42:00 PM,32632,,Transfer Out,,Kitten,Unknown,Unknown,Domestic Shorthair,Brown Tabby,Brown Tabby,2026-08-16,2026-09-06 16:32:00,0,2026 Sep 12 12:15:10 AM,Transferred,1.0,0,0,9,0.0,0.0
94035,2026 Sep 06 05:42:00 PM,32631,,Transfer Out,,Kitten,Unknown,Unknown,Domestic Shorthair,Brown Tabby,White,,2026-09-06 15:43:00,0,2026 Sep 12 12:15:10 AM,Transferred,3.0,1,0,9,0.0,0.0
94034,2026 Sep 06 05:42:00 PM,32630,,Transfer Out,,Kitten,Unknown,Unknown,Domestic Shorthair,Brown Tabby,White,,2026-09-06 15:43:00,0,2026 Sep 12 12:15:10 AM,Transferred,3.0,1,0,9,0.0,0.0
94033,2026 Sep 06 05:42:00 PM,32629,,Transfer Out,,Kitten,Unknown,Unknown,Domestic Shorthair,Black,White,,2026-09-06 15:43:00,0,2026 Sep 12 12:15:10 AM,Transferred,3.0,1,0,9,0.0,0.0
94032,2026 Sep 06 05:42:00 PM,32628,,Transfer Out,,Kitten,Unknown,Unknown,Domestic Shorthair,Black,White,,2026-09-06 15:43:00,0,2026 Sep 12 12:15:10 AM,Transferred,3.0,1,0,9,0.0,0.0
94031,2026 Sep 06 05:42:00 PM,32627,,Transfer Out,,Kitten,Unknown,Unknown,Domestic Shorthair,Black,Unknown,2026-09-03,2026-09-06 15:43:00,0,2026 Sep 12 12:15:10 AM,Transferred,0.0,0,0,9,0.0,0.0
94028,2026 Sep 06 05:14:00 PM,30154,Waitress,Adopted,,Cat,Female,Yes,Domestic Shorthair,Buff Tiger,Unknown,2024-07-18,2026-07-18 10:43:00,50,2026 Sep 12 12:15:10 AM,Adopted,24.0,0,1,7,0.7666666666666667,76.67
94023,2026 Sep 06 04:41:00 PM,32118,Fernando,Transfer Out,,Cat,Male,No,Domestic Shorthair,Black,Unknown,2013-08-26,2026-08-26 11:05:00,11,2026 Sep 12 12:15:10 AM,Transferred,156.0,0,0,8,0.044036697247706424,4.4
94013,2026 Sep 06 04:19:26 PM,32269,Achtung Baby,Adopted,,Cat,Male,Yes,Domestic Shorthair,Brown Tabby,White,2025-08-28,2026-08-28 17:55:00,9,2026 Sep 12 12:15:10 AM,Adopted,12.0,0,1,8,0.7666666666666667,76.67
