"ID","Outcome Date","Animal ID","Name","Outcome Status","Euthanasia Reason","Type","Sex","Spayed/Neutered","Primary Breed","Primary Color","Secondary Color","Date of Birth","Intake Date","Days in Shelter","Timestamp"
"94734","2026 Sep 11 05:46:45 PM","32673","Buddie","Adopted",,"Dog","Male","yes","Chihuahua - Smooth","Red",,"2026 Apr 08 12:00:00 AM","2026 Sep 08 12:19:00 PM","3","2026 Sep 12 12:15:10 AM"
"94732","2026 Sep 11 05:42:00 PM","32667",,"Return to Habitat",,"Cat","Female","Yes","Domestic Shorthair","Black",,"2025 Sep 08 12:00:00 AM","2026 Sep 08 11:28:00 AM","3","2026 Sep 12 12:15:10 AM"
"94728","2026 Sep 11 05:36:54 PM","32748","Liepard","Adopted",,"Kitten","Female","Yes","Domestic Medium Hair","Smoke","Black","2026 Jul 08 12:00:00 AM","2026 Sep 09 03:04:00 PM","2","2026 Sep 12 12:15:10 AM"
"94727","2026 Sep 11 05:35:22 PM","32747","Purrloin","Adopted",,"Kitten","Male","yes","Domestic Medium Hair","Smoke","Black","2026 Jul 08 12:00:00 AM","2026 Sep 09 03:04:00 PM","2","2026 Sep 12 12:15:10 AM"
"94725","2026 Sep 11 05:31:00 PM","24110","Prissy","Adopted Unaltered",,"Dog","Female","No","American Pit Bull Terrier","Brown","White","2025 Jun 11 12:00:00 AM","2026 Apr 11 10:16:00 AM","153","2026 Sep 12 12:15:10 AM"
"94720","2026 Sep 11 05:04:24 PM","32507","Pumpkin","Adopted",,"Cat","Male","Yes","Domestic Medium Hair","Orange Tabby",,"2024 Sep 03 12:00:00 AM","2026 Sep 03 01:12:00 PM","8","2026 Sep 12 12:15:10 AM"
"94719","2026 Sep 11 05:04:16 PM","32552","Teddy","Adopted",,"Dog","Male","yes","Great Pyrenees","White",,"2024 Sep 04 12:00:00 AM","2026 Sep 04 02:28:00 PM","7","2026 Sep 12 12:15:10 AM"
"94710","2026 Sep 11 04:35:17 PM","31529","Thomas","Adopted",,"Kitten","Male","Yes","Domestic Shorthair","Orange Tabby",,"2026 Jun 18 12:00:00 AM","2026 Aug 13 12:28:00 PM","29","2026 Sep 12 12:15:10 AM"
"94707","2026 Sep 11 04:25:00 PM","32750","Lightning","Adopted",,"Kitten","Male","Yes","Domestic Medium Hair","Black","White","2026 Jul 22 12:00:00 AM","2026 Sep 09 03:04:00 PM","2","2026 Sep 12 12:15:10 AM"
"94705","2026 Sep 11 04:07:12 PM","32641",,"Adopted",,"Kitten","Female","yes","Domestic Shorthair","Brown Tabby","White","2026 May 07 12:00:00 AM","2026 Sep 06 06:13:00 PM","5","2026 Sep 12 12:15:10 AM"
"94704","2026 Sep 11 04:01:00 PM","31303","Peas","Adopted",,"Kitten","Male","Yes","Domestic Shorthair","Blue","White","2026 Jul 04 12:00:00 AM","2026 Aug 08 02:12:00 PM","34","2026 Sep 12 12:15:10 AM"
"94701","2026 Sep 11 03:47:07 PM","29280","Tia","Adopted",,"Dog","Female","Yes","American Pit Bull Terrier","Chocolate",,"2025 Jul 02 12:00:00 AM","2026 Jul 02 08:36:00 AM","71","2026 Sep 12 12:15:10 AM"
"94696","2026 Sep 11 03:25:54 PM","31304","Lima Bean","Adopted",,"Kitten","Female","Yes","Domestic Shorthair","Brown Tabby","White","2026 Jul 04 12:00:00 AM","2026 Aug 08 02:12:00 PM","34","2026 Sep 12 12:15:10 AM"
"94692","2026 Sep 11 03:07:08 PM","32199","Bert","Adopted",,"Cat","Male","Yes","Domestic Shorthair","Brown Tabby",,"2024 Aug 27 12:00:00 AM","2026 Aug 27 03:36:00 PM","15","2026 Sep 12 12:15:10 AM"
"94665","2026 Sep 11 02:02:00 PM","32864",,"Transfer Out",,"Kitten","Female","No","Domestic Shorthair","Black","White","2026 Aug 28 12:00:00 AM","2026 Sep 11 01:01:00 PM","0","2026 Sep 12 12:15:10 AM"
"94664","2026 Sep 11 02:02:00 PM","32863",,"Transfer Out",,"Kitten","Male","No","Domestic Shorthair","Blue",,"2026 Aug 28 12:00:00 AM","2026 Sep 11 01:01:00 PM","0","2026 Sep 12 12:15:10 AM"
"94663","2026 Sep 11 02:00:00 PM","32833","Unknown ","Transfer Out",,"Kitten","Female","No","Domestic Shorthair","Grey Tabby","Black","2026 Sep 02 12:00:00 AM","2026 Sep 11 08:18:00 AM","0","2026 Sep 12 12:15:10 AM"
"94662","2026 Sep 11 01:59:00 PM","32856",,"Transfer Out",,"Kitten","Female","No","Domestic Shorthair","Black",,"2026 Sep 09 12:00:00 AM","2026 Sep 11 12:12:00 PM","0","2026 Sep 12 12:15:10 AM"
"94661","2026 Sep 11 01:59:00 PM","32855",,"Transfer Out",,"Kitten","Unknown","No","Domestic Shorthair","Calico",,"2026 Sep 09 12:00:00 AM","2026 Sep 11 12:12:00 PM","0","2026 Sep 12 12:15:10 AM"
"94648","2026 Sep 11 01:10:00 PM","32767","Jessica","Reclaimed",,"Dog","Unknown","Unknown","German Shepherd","Black Brown","Black Brown","2025 Sep 10 12:00:00 AM","2026 Sep 10 10:22:00 AM","1","2026 Sep 12 12:15:10 AM"
"94594","2026 Sep 10 07:00:40 PM","29681","Jimmy","Adopted",,"Guinea Pig","Male","No","Abyssinian","Agouti","White","2024 Jul 07 12:00:00 AM","2026 Sep 09 11:58:00 AM","1","2026 Sep 12 12:15:10 AM"
"94585","2026 Sep 10 06:11:33 PM","32608",,"Adopted",,"Kitten","Female","Yes","Domestic Shorthair","Calico","White","2026 Aug 05 12:00:00 AM","2026 Sep 05 05:28:00 PM","5","2026 Sep 12 12:15:10 AM"
"94582","2026 Sep 10 05:35:00 PM","22731","Kei (key)","Reclaimed",,"Dog","Male","Yes","Belgian Shepherd Dog - Malinois","Black","Brown","2025 Mar 14 12:00:00 AM","2026 Sep 08 01:47:00 PM","2","2026 Sep 12 12:15:10 AM"
"94579","2026 Sep 10 05:09:00 PM","32530","Beau","Adopted",,"Cat","Male","Unknown","Domestic Shorthair","Grey","White","2019 Apr 01 12:00:00 AM","2026 Sep 04 11:50:00 AM","6","2026 Sep 12 12:15:10 AM"
"94578","2026 Sep 10 05:03:24 PM","11791","Beef","Adopted",,"Dog","Male","Yes","Labrador Retriever","Black","White","2024 Jul 10 12:00:00 AM","2025 Jul 10 12:39:00 PM","427","2026 Sep 12 12:15:10 AM"
"94571","2026 Sep 10 04:33:00 PM","31239","Ferguson","Return to Habitat",,"Cat","Male","Yes","Domestic Shorthair","Orange Tabby","White","2023 Sep 03 12:00:00 AM","2026 Aug 07 01:55:00 PM","34","2026 Sep 12 12:15:10 AM"
"94560","2026 Sep 10 03:27:46 PM","22165","Evan","Adopted",,"Dog","Male","Yes","Bullmastiff","Brown",,"2024 Mar 01 12:00:00 AM","2026 Mar 01 01:00:00 PM","193","2026 Sep 12 12:15:10 AM"
"94558","2026 Sep 10 03:26:00 PM","28001","Bubbles","Adopted",,"Puppy","Female","Yes","German Shepherd","Black","Brown","2026 May 15 12:00:00 AM","2026 Jun 11 02:43:00 PM","91","2026 Sep 12 12:15:10 AM"
"94548","2026 Sep 10 03:04:00 PM","32807",,"Transfer Out",,"Kitten","Male","No","Domestic Shorthair","Orange Tabby",,"2026 Sep 03 12:00:00 AM","2026 Sep 10 01:52:00 PM","0","2026 Sep 12 12:15:10 AM"
"94544","2026 Sep 10 02:59:26 PM","32267","Cheekies","Adopted",,"Cat","Male","Yes","Domestic Shorthair","Brown Tabby","White","2021 Feb 28 12:00:00 AM","2026 Aug 28 05:20:00 PM","13","2026 Sep 12 12:15:10 AM"
"94543","2026 Sep 10 02:57:00 PM","32520","Teetee","Reclaimed",,"Dog","Female","Yes","American Pit Bull Terrier","Fawn","White","2025 Mar 05 12:00:00 AM","2026 Sep 03 05:22:00 PM","7","2026 Sep 12 12:15:10 AM"
"94537","2026 Sep 10 02:44:00 PM","32802",,"Transfer Out",,"Kitten","Female","Yes","Domestic Shorthair","Black",,"2026 Aug 20 12:00:00 AM","2026 Sep 10 01:42:00 PM","0","2026 Sep 12 12:15:10 AM"
"94517","2026 Sep 10 01:27:00 PM","32708","Rascal","Reclaimed",,"Dog","Male","Yes","Poodle - Miniature","White",,"2014 Sep 09 12:00:00 AM","2026 Sep 09 04:29:00 AM","1","2026 Sep 12 12:15:10 AM"
"94515","2026 Sep 10 01:27:00 PM","32707","Sofie","Reclaimed",,"Cat","Female","No","Domestic Shorthair","Cream",,"2020 Sep 09 12:00:00 AM","2026 Sep 09 03:45:00 AM","1","2026 Sep 12 12:15:10 AM"
"94514","2026 Sep 10 01:27:01 PM","32401","Wegmann","Adopted",,"Dog","Male","Yes","Labrador Retriever","Black",,"2025 Mar 01 12:00:00 AM","2026 Sep 01 02:35:00 PM","9","2026 Sep 12 12:15:10 AM"
"94513","2026 Sep 10 01:26:00 PM","32706","Danielle","Reclaimed",,"Cat","Female","No","Domestic Shorthair","Calico",,"2020 Sep 09 12:00:00 AM","2026 Sep 09 03:45:00 AM","1","2026 Sep 12 12:15:10 AM"
"94506","2026 Sep 10 01:10:52 PM","32456","Butters","Adopted",,"Cat","Male","Yes","Domestic Shorthair","Brown Tabby",,"2024 Sep 02 12:00:00 AM","2026 Sep 02 02:24:00 PM","8","2026 Sep 12 12:15:10 AM"
"94441","2026 Sep 10 07:51:00 AM","32550",,"Transfer Out",,"Cat","Unknown","Unknown","Domestic Shorthair","Brown Tabby",,"2025 Sep 04 12:00:00 AM","2026 Sep 04 02:09:00 PM","6","2026 Sep 12 12:15:10 AM"
"94440","2026 Sep 10 07:51:00 AM","32675",,"Transfer Out",,"Cat","Female","No","Domestic Shorthair","Brown Tabby",,"2024 Sep 08 12:00:00 AM","2026 Sep 08 12:33:00 PM","2","2026 Sep 12 12:15:10 AM"
"94439","2026 Sep 10 07:51:00 AM","32620",,"Transfer Out",,"Cat","Female","No","Domestic Shorthair","Brown Tabby","White","2025 Sep 06 12:00:00 AM","2026 Sep 06 12:05:00 PM","4","2026 Sep 12 12:15:10 AM"
"94438","2026 Sep 10 07:51:00 AM","32621",,"Transfer Out",,"Cat","Female","No","Domestic Shorthair","Brown Tabby","White","2025 Nov 06 12:00:00 AM","2026 Sep 06 12:05:00 PM","4","2026 Sep 12 12:15:10 AM"
"94433","2026 Sep 09 07:36:00 PM","32171","Izzy","Adopted",,"Dog","Female","Yes","Chihuahua - Smooth","Black","Brown Brindle","2025 Aug 27 12:00:00 AM","2026 Aug 27 11:39:00 AM","13","2026 Sep 12 12:15:10 AM"
"94427","2026 Sep 09 06:24:00 PM","32739",,"Transfer Out",,"Kitten","Male","No","Domestic Shorthair","Black",,"2026 Aug 12 12:00:00 AM","2026 Sep 09 01:58:00 PM","0","2026 Sep 12 12:15:10 AM"
"94426","2026 Sep 09 06:24:00 PM","32738",,"Transfer Out",,"Kitten","Male","No","Domestic Shorthair","Black",,"2026 Aug 12 12:00:00 AM","2026 Sep 09 01:58:00 PM","0","2026 Sep 12 12:15:10 AM"
"94425","2026 Sep 09 06:24:00 PM","32736",,"Transfer Out",,"Kitten","Female","No","Domestic Shorthair","Tortoiseshell",,"2026 Aug 12 12:00:00 AM","2026 Sep 09 01:58:00 PM","0","2026 Sep 12 12:15:10 AM"
"94424","2026 Sep 09 06:24:00 PM","32735",,"Transfer Out",,"Kitten","Female","No","Domestic Shorthair","Tortoiseshell",,"2026 Aug 12 12:00:00 AM","2026 Sep 09 01:58:00 PM","0","2026 Sep 12 12:15:10 AM"
"94423","2026 Sep 09 06:24:00 PM","32734",,"Transfer Out",,"Kitten","Female","No","Domestic Shorthair","Tortoiseshell",,"2026 Aug 12 12:00:00 AM","2026 Sep 09 01:58:00 PM","0","2026 Sep 12 12:15:10 AM"
"94422","2026 Sep 09 06:21:47 PM","32468","Lola","Adopted",,"Puppy","Female","yes","German Shepherd","Black","Red","2026 Jun 02 12:00:00 AM","2026 Sep 02 05:05:00 PM","7","2026 Sep 12 12:15:10 AM"
"94418","2026 Sep 09 05:13:00 PM","32755",,"Transfer Out",,"Kitten","Female","No","Domestic Shorthair","Black","White","2026 Aug 24 12:00:00 AM","2026 Sep 09 03:39:00 PM","0","2026 Sep 12 12:15:10 AM"
"94414","2026 Sep 09 04:58:00 PM","32360",,"Adopted",,"Kitten","Female","Yes","Domestic Shorthair","Muted Tortoiseshell",,"2026 Jul 13 12:00:00 AM","2026 Aug 31 01:13:00 PM","9","2026 Sep 12 12:15:10 AM"
"94413","2026 Sep 09 04:48:07 PM","32525",,"Adopted",,"Kitten","Male","yes","Siamese","White",,"2026 May 04 12:00:00 AM","2026 Sep 04 10:49:00 AM","5","2026 Sep 12 12:15:10 AM"
"94412","2026 Sep 09 04:42:30 PM","30077","Horatio Nelson","Adopted",,"Kitten","Male","Yes","Domestic Shorthair","Brown Tabby",,"2026 May 21 12:00:00 AM","2026 Jul 16 12:50:00 PM","55","2026 Sep 12 12:15:10 AM"
"94409","2026 Sep 09 04:25:00 PM","32568",,"Transfer Out",,"Dog","Male","yes","Maltese Terrier","White",,"2022 Sep 04 12:00:00 AM","2026 Sep 04 04:17:00 PM","5","2026 Sep 12 12:15:10 AM"
"94408","2026 Sep 09 04:25:00 PM","32567",,"Transfer Out",,"Puppy","Male","yes","Maltese Terrier","White",,"2026 Apr 20 12:00:00 AM","2026 Sep 04 04:17:00 PM","5","2026 Sep 12 12:15:10 AM"
"94405","2026 Sep 09 04:18:30 PM","32510","Vader","Adopted",,"Cat","Male","yes","Scottish Fold","Black",,"2024 Sep 03 12:00:00 AM","2026 Sep 03 01:37:00 PM","6","2026 Sep 12 12:15:10 AM"
"94399","2026 Sep 09 03:58:13 PM","32566",,"Adopted",,"Dog","Female","Yes","Maltese Terrier","White","Cream","2024 Sep 04 12:00:00 AM","2026 Sep 04 04:17:00 PM","5","2026 Sep 12 12:15:10 AM"
"94359","2026 Sep 09 01:55:00 PM","31297","Brosnan","Adopted",,"Cat","Male","Yes","Domestic Shorthair","Lilac",,"2020 Aug 08 12:00:00 AM","2026 Aug 08 12:42:00 PM","32","2026 Sep 12 12:15:10 AM"
"94357","2026 Sep 09 01:40:00 PM","32553",,"Return to Habitat",,"Cat","Male","Yes","Domestic Shorthair","Brown Tabby",,"2020 Sep 05 12:00:00 AM","2026 Sep 04 02:30:00 PM","5","2026 Sep 12 12:15:10 AM"
"94346","2026 Sep 09 12:57:00 PM","32565","Cole","Euthanized","Suffering","Cat","Unknown","Unknown","Domestic Shorthair","Black",,,"2026 Sep 04 03:42:00 PM","5","2026 Sep 12 12:15:10 AM"
"94345","2026 Sep 09 12:56:00 PM","32065",,"Cremation - Communal",,"Mammal","Unknown","Unknown","Bat - Unspecified","Black","Brown",,"2026 Aug 25 10:25:00 AM","15","2026 Sep 12 12:15:10 AM"
"94344","2026 Sep 09 12:45:00 PM","32647",,"Transfer Out",,"Kitten","Female","No","Domestic Shorthair","Tortoiseshell",,"2026 Jul 27 12:00:00 AM","2026 Sep 07 08:28:00 AM","2","2026 Sep 12 12:15:10 AM"
"94337","2026 Sep 09 12:21:00 PM","24704","Tira","Adopted",,"Cat","Female","Yes","Domestic Shorthair","Grey Tabby","White","2025 Apr 28 12:00:00 AM","2026 Apr 28 11:44:00 AM","134","2026 Sep 12 12:15:10 AM"
"94326","2026 Sep 09 11:45:00 AM","32062","Moses","DOA - Released to Owner",,"Dog","Unknown","Unknown","Chihuahua - Smooth","Unknown",,"2024 Aug 25 12:00:00 AM","2026 Aug 25 08:36:00 AM","15","2026 Sep 12 12:15:10 AM"
"94315","2026 Sep 09 11:02:00 AM","28763",,"Adopted",,"Dog","Male","No","Doberman Pinscher","Chocolate",,"2025 Nov 23 12:00:00 AM","2026 Jun 23 03:47:00 PM","78","2026 Sep 12 12:15:10 AM"
"94313","2026 Sep 09 10:55:00 AM","32527",,"Transfer Out",,"Dog","Female","No","Boxer","Black","White","2026 Apr 04 12:00:00 AM","2026 Sep 04 11:11:00 AM","5","2026 Sep 12 12:15:10 AM"
"94304","2026 Sep 09 10:42:00 AM","32358",,"Transfer Out",,"Kitten","Female","No","Domestic Shorthair","Black",,"2026 Jun 29 12:00:00 AM","2026 Aug 31 12:52:00 PM","9","2026 Sep 12 12:15:10 AM"
"94303","2026 Sep 09 10:42:00 AM","32355",,"Transfer Out",,"Kitten","Male","Yes","Domestic Shorthair","Brown Tabby",,"2026 Jul 01 12:00:00 AM","2026 Aug 31 12:52:00 PM","9","2026 Sep 12 12:15:10 AM"
"94302","2026 Sep 09 10:42:00 AM","32354",,"Transfer Out",,"Kitten","Male","No","Domestic Shorthair","Brown Tabby",,"2026 Jun 29 12:00:00 AM","2026 Aug 31 12:52:00 PM","9","2026 Sep 12 12:15:10 AM"
"94300","2026 Sep 09 10:36:00 AM","32357",,"Transfer Out",,"Cat","Female","No","Domestic Shorthair","Torbie",,"2026 Mar 31 12:00:00 AM","2026 Aug 31 12:52:00 PM","9","2026 Sep 12 12:15:10 AM"
"94280","2026 Sep 09 09:00:12 AM","21981","Woody","Adopted",,"Dog","Male","Yes","German Shepherd","Brown","White","2024 Sep 15 12:00:00 AM","2026 Feb 25 12:07:00 PM","196","2026 Sep 12 12:15:10 AM"
"94278","2026 Sep 09 08:55:54 AM","20435","Bandit","Adopted",,"Dog","Male","Yes","American Bulldog","White","Brown","2019 Jan 15 12:00:00 AM","2026 Jan 15 12:13:00 PM","237","2026 Sep 12 12:15:10 AM"
"94277","2026 Sep 09 08:55:31 AM","24684","Annie","Adopted",,"Dog","Female","Yes","American Bulldog","Blue","White","2019 Apr 21 12:00:00 AM","2026 Apr 21 01:28:00 PM","141","2026 Sep 12 12:15:10 AM"
"94276","2026 Sep 09 08:52:45 AM","32100","32100 ","Adopted",,"Kitten","Female","Yes","Domestic Shorthair","Tortoiseshell",,"2026 May 12 12:00:00 AM","2026 Aug 26 11:31:00 AM","14","2026 Sep 12 12:15:10 AM"
"94275","2026 Sep 09 08:52:18 AM","24244","Boo Boo","Adopted",,"Dog","Male","Yes","Labrador Retriever","Brown","Black","2025 Jun 13 12:00:00 AM","2026 May 04 02:11:00 PM","128","2026 Sep 12 12:15:10 AM"
"94274","2026 Sep 09 08:50:31 AM","31300","Mr. Woofie Woo","Adopted",,"Dog","Male","Yes","Terrier","Tan","Tan","2024 Aug 08 12:00:00 AM","2026 Aug 08 01:35:00 PM","32","2026 Sep 12 12:15:10 AM"
"94263","2026 Sep 08 10:28:58 PM","31371",,"Adopted",,"Puppy","Male","Yes","Dachshund","White","Brown","2026 Jun 20 12:00:00 AM","2026 Aug 10 01:56:00 PM","29","2026 Sep 12 12:15:10 AM"
"94256","2026 Sep 08 06:53:35 PM","23099","Precious","Adopted",,"Dog","Female","Yes","American Pit Bull Terrier","Brown",,"2023 Mar 22 12:00:00 AM","2026 May 21 01:10:00 PM","110","2026 Sep 12 12:15:10 AM"
"94253","2026 Sep 08 06:28:53 PM","32555",,"Adopted",,"Cat","Male","yes","Domestic Shorthair","Black",,"2025 Sep 04 12:00:00 AM","2026 Sep 04 03:00:00 PM","4","2026 Sep 12 12:15:10 AM"
"94251","2026 Sep 08 06:08:00 PM","30574","Turkey","Adopted",,"Kitten","Male","Yes","Domestic Shorthair","Brown Tabby","Brown Tabby","2026 Apr 27 12:00:00 AM","2026 Jul 27 01:15:00 PM","43","2026 Sep 12 12:15:10 AM"
"94250","2026 Sep 08 06:05:00 PM","31236","Mochi","Transfer Out",,"Dog","Female","No","French Bulldog","Black","White","2021 Aug 18 12:00:00 AM","2026 Aug 18 03:48:00 PM","21","2026 Sep 12 12:15:10 AM"
"94248","2026 Sep 08 05:50:15 PM","32364","Trixie","Adopted",,"Dog","Female","Yes","Australian Cattle Dog","Black","Blue Merle","2025 Aug 31 12:00:00 AM","2026 Aug 31 01:56:00 PM","8","2026 Sep 12 12:15:10 AM"
"94247","2026 Sep 08 05:48:59 PM","32562",,"Adopted",,"Kitten","Female","yes","Domestic Shorthair","Brown Tabby","Brown Tabby","2026 Aug 01 12:00:00 AM","2026 Sep 04 03:36:00 PM","4","2026 Sep 12 12:15:10 AM"
"94240","2026 Sep 08 05:38:00 PM","32645",,"Euthanized","Suffering","Cat","Male","No","Domestic Shorthair","Black","White","2019 Sep 07 12:00:00 AM","2026 Sep 07 01:26:00 AM","1","2026 Sep 12 12:15:10 AM"
"94239","2026 Sep 08 05:38:43 PM","32161","Cisco","Adopted",,"Dog","Male","Yes","Pug","Buff",,"2024 Aug 27 12:00:00 AM","2026 Aug 27 10:05:00 AM","12","2026 Sep 12 12:15:10 AM"
"94238","2026 Sep 08 05:36:52 PM","32496","Bugsy","Adopted",,"Cat","Female","yes","Scottish Fold","Black",,"2024 Sep 08 12:00:00 AM","2026 Sep 03 11:53:00 AM","5","2026 Sep 12 12:15:10 AM"
"94235","2026 Sep 08 05:30:00 PM","32312","Pancho","Reclaimed",,"Dog","Male","Yes","Labrador Retriever","Black","White","2021 Aug 30 12:00:00 AM","2026 Aug 30 11:18:00 AM","9","2026 Sep 12 12:15:10 AM"
"94234","2026 Sep 08 05:23:02 PM","32467","Rambo","Adopted",,"Dog","Male","Yes","Terrier","White","Brown","2025 Mar 02 12:00:00 AM","2026 Sep 02 04:08:00 PM","6","2026 Sep 12 12:15:10 AM"
"94233","2026 Sep 08 05:20:00 PM","29724","Bork","Reclaimed",,"Dog","Male","Yes","American Pit Bull Terrier","Black","White","2023 Jul 08 12:00:00 AM","2026 Sep 02 10:09:00 AM","6","2026 Sep 12 12:15:10 AM"
"94225","2026 Sep 08 04:51:23 PM","30328","Pluto","Adopted",,"Kitten","Male","yes","Domestic Shorthair","Brown Tabby",,"2026 May 22 12:00:00 AM","2026 Jul 22 11:15:00 AM","48","2026 Sep 12 12:15:10 AM"
"94224","2026 Sep 08 04:50:32 PM","30327","Polaris","Adopted",,"Kitten","Male","yes","Domestic Shorthair","Orange Tabby",,"2026 May 22 12:00:00 AM","2026 Jul 22 11:15:00 AM","48","2026 Sep 12 12:15:10 AM"
"94220","2026 Sep 08 04:37:46 PM","32359",,"Adopted",,"Kitten","Male","yes","Domestic Shorthair","Grey Tabby",,"2026 Jul 13 12:00:00 AM","2026 Aug 31 01:13:00 PM","8","2026 Sep 12 12:15:10 AM"
"94218","2026 Sep 08 04:30:17 PM","32563","Jade Simone","Adopted",,"Kitten","Female","Yes","Domestic Shorthair","Brown Tabby","Brown Tabby","2026 Aug 01 12:00:00 AM","2026 Sep 04 03:36:00 PM","4","2026 Sep 12 12:15:10 AM"
"94215","2026 Sep 08 04:25:04 PM","31373",,"Adopted",,"Kitten","Male","yes","Domestic Shorthair","White","Smoke","2026 Jun 29 12:00:00 AM","2026 Aug 10 02:43:00 PM","29","2026 Sep 12 12:15:10 AM"
"94213","2026 Sep 08 04:20:52 PM","32367","Tilly","Adopted",,"Dog","Female","Yes","Siberian Husky","Grey","White","2019 Oct 18 12:00:00 AM","2026 Aug 31 02:08:00 PM","8","2026 Sep 12 12:15:10 AM"
"94210","2026 Sep 08 04:19:01 PM","32155","King Loki","Adopted",,"Puppy","Male","Yes","Boerboel","Black",,"2026 May 02 12:00:00 AM","2026 Aug 27 06:28:00 AM","12","2026 Sep 12 12:15:10 AM"
"94209","2026 Sep 08 04:18:33 PM","32156","Cleopatra","Adopted",,"Puppy","Female","yes","Boerboel","Brown",,"2026 May 02 12:00:00 AM","2026 Aug 27 06:32:00 AM","12","2026 Sep 12 12:15:10 AM"
"94198","2026 Sep 08 03:13:00 PM","32368","Farrah","Adopted",,"Cat","Female","Yes","Domestic Shorthair","Brown Tabby","White","2024 Aug 31 12:00:00 AM","2026 Aug 31 02:22:00 PM","8","2026 Sep 12 12:15:10 AM"
"94192","2026 Sep 08 02:56:00 PM","32478",,"Transfer Out",,"Reptile","Unknown","Unknown","Desert Tortoise","Brown",,,"2026 Sep 03 09:53:00 AM","5","2026 Sep 12 12:15:10 AM"
"94180","2026 Sep 08 01:54:00 PM","32661","Jenny","Reclaimed",,"Cat","Female","Yes","Domestic Shorthair","Brown Tabby",,"2022 Sep 08 12:00:00 AM","2026 Sep 08 10:02:00 AM","0","2026 Sep 12 12:15:10 AM"
"94179","2026 Sep 08 01:53:00 PM","32660","Morgan","Reclaimed",,"Cat","Male","Yes","Domestic Shorthair","Black",,"2022 Sep 08 12:00:00 AM","2026 Sep 08 10:02:00 AM","0","2026 Sep 12 12:15:10 AM"
"94157","2026 Sep 08 01:23:42 PM","31358","Sir Meows","Adopted",,"Cat","Male","Yes","Domestic Shorthair","Orange Tabby",,"2025 Aug 14 12:00:00 AM","2026 Sep 05 02:20:00 PM","3","2026 Sep 12 12:15:10 AM"
"94149","2026 Sep 08 01:06:00 PM","29866","Astra","Adopted",,"Kitten","Female","Yes","Domestic Shorthair","Black",,"2026 May 17 12:00:00 AM","2026 Jul 12 12:12:00 PM","58","2026 Sep 12 12:15:10 AM"
"94148","2026 Sep 08 01:01:00 PM","32654",,"Reclaimed",,"Reptile","Unknown","Unknown","Iguana","Brown","Yellow","2022 Sep 07 12:00:00 AM","2026 Sep 07 01:47:00 PM","1","2026 Sep 12 12:15:10 AM"
